Substation Long Name,Substation Name,Unit Name,Unit Short Name,Node Name,Node/Unit ID,Zone ID,Reserve ID,RSP Area,Dispatch Zone,DRRAZ ID,Latitude,Longitude
2121A TAP,2121A_T,,,LD.2121A_T 34.5,46728,4001,7000,ME,Maine,7606,44.1392,-69.0967
FIVE CORNERS,5CORNRS,,,LD.5CORNRS 13.2T1 LD,4801,4007,7000,WMA,Western MA,7618,42.249705,-72.535697
FIVE CORNERS,5CORNRS,,,LD.5CORNRS 13.2T2 LD,4802,4007,7000,WMA,Western MA,7618,42.249705,-72.535697
ACUSHNET,ACUSHNET,,,LD.ACUSHNET13.2,4240,4006,7000,SEMA,Lower SEMA,7612,41.670892,-70.913653
ADAMS,ADAMS,,,LD.ADAMS   23,4310,4007,7000,WMA,Western MA,7618,42.654671,-73.105972
ADMIRAL STREET,ADMIRAL,,,LD.ADMIRAL 23,4302,4005,7000,RI,Rhode Island,7619,41.841648,-71.421239
AGAWAM,AGAWAM,,,LD.AGAWAM  13.8,4519,4007,7000,WMA,Springfield MA,7617,42.090607,-72.635266
ALEWIFE,ALEWIFE,,,LD.ALEWIFE 13.8,4249,4008,7003,BOSTON,Boston,7608,42.391567,-71.143261
ALLINGS CROSSINGS,ALLINGS,,,LD.ALLINGS 13.8,4430,4004,7001,SWCT,Western CT,7603,41.267147,-72.974009
ALTRESCO,ALTRESCO,ALTRESCO,ALTR,UN.ALTRESCO13.8ALTR,326,4007,7000,WMA,Western MA,7618,42.45587,-73.21809
AMES STREET,AMES_ST,,,LD.AMES_ST 13.8,4207,4006,7000,SEMA,SEMA,7613,42.101401,-71.016738
AMHERST,AMHERST,,,LD.AMHERST 34.5,4376,4002,7000,VT,New Hampshire,7610,42.809003,-71.592836
AMHERST,AMHRST,,,LD.AMHRST  13.8EAST LD,4803,4007,7000,WMA,Western MA,7618,42.373659,-72.507484
AMHERST,AMHRST,,,LD.AMHRST  13.8WEST LD,4804,4007,7000,WMA,Western MA,7618,42.373659,-72.507484
ANDREWS SQUARE,ANDREWSQ,,,LD.ANDREWSQ13.8110AC LD,4805,4008,7003,BOSTON,Boston,7608,42.329112,-71.058546
ANDREWS SQUARE,ANDREWSQ,,,LD.ANDREWSQ13.8110BD LD,4806,4008,7003,BOSTON,Boston,7608,42.329112,-71.058546
ANHEUSER BUSCH,ANHEUSBH,,,LD.ANHEUSBH12.5,4407,4002,7000,NH,New Hampshire,7610,42.828673,-71.487222
ANSONIA,ANSONIA,,,LD.ANSONIA 13.8,4440,4004,7001,SWCT,Western CT,7603,41.347378,-73.085694
ARSENE,ARSENE,,,LD.ARSENE  13.2,4239,4006,7000,SEMA,Lower SEMA,7612,41.639936,-70.875174
ASCUTNEY,ASCUTNEY,,,LD.ASCUTNEY46,4460,4003,7000,VT,Vermont,7615,43.401128,-72.41952
ASCUTNEY,ASCUTNEY,ASCUTNEY GT,ASCU,UN.ASCUTNEY46  ASCU,329,4003,7000,VT,Vermont,7615,43.401128,-72.41952
ASHBURNHAM,ASHBRNHM,,,LD.ASHBRNHM13.8,4479,4007,7000,WMA,Western MA,7618,42.616864,-71.926728
ASHCREEK,ASHCREEK,,,LD.ASHCREEK13.8,4436,4004,7001,NOR,Norwalk - Stamford,7602,41.156295,-73.234142
ASHFIELD,ASHFIELD,,,LD.ASHFIELD23,4508,4007,7000,WMA,Western MA,7618,42.537639,-72.791151
ASHLAND,ASHLAND,,,LD.ASHLAND 34.5,4390,4002,7000,NH,New Hampshire,7610,43.691333,-71.637667
ASHLAND,ASHLAND,BRIDGEWATER,BRID,UN.ASHLAND 34.5BRID,357,4002,7000,NH,New Hampshire,7610,43.691333,-71.637667
AUGUSTA EAST SIDE,AUGSTA_E,,,LD.AUGSTA_E34.5,4165,4001,7000,ME,Maine,7606,44.329432,-69.746281
AYER,AYER,,,LD.AYER    69,4332,4007,7000,CMA/NEMA,Central MA,7616,42.565954,-71.592952
BAIRD,BAIRD,,,LD.BAIRD   13.81X_LD,4433,4004,7001,SWCT,Western CT,7603,41.185073,-73.144435
BAIRD,BAIRD,,,LD.BAIRD   13.82X_LD,67526,4004,7001,SWCT,Western CT,7603,41.185073,-73.144435
BAKER STREET,BAKER_ST,,,LD.BAKER_ST24.0,4090,4008,7003,BOSTON,Boston,7608,42.2804,-71.1691
BARBOUR HILL,BARBOURH,,,LD.BARBOURH23,4538,4004,7002,CT,Northern CT,7601,41.853718,-72.527973
BARNUM,BARNUM,,,LD.BARNUM  13.8,4443,4004,7001,SWCT,Western CT,7603,41.198313,-73.126331
BARRE,BARRE,,,LD.BARRE   13.8,4307,4007,7000,WMA,Western MA,7618,42.391484,-72.098985
BARRE VT,BARRE_VT,,,LD.BARRE_VT34.5,2437,4003,7000,VT,Northwest Vermont,7614,44.194315,-72.52246
BARRE VT,BARRE_VT,DODGE FALLS-NEW,DODF,UN.BARRE_VT34.5DODF,2431,4003,7000,VT,Northwest Vermont,7614,44.194315,-72.52246
BARRE VT,BARRE_VT,RYEGATE 1-NEW,RYGT,UN.BARRE_VT34.5RYGT,2433,4003,7000,VT,Northwest Vermont,7614,44.194315,-72.52246
BATES ROCK,BATES_RK,,,LD.BATES_RK13.8,4593,4004,7001,SWCT,Western CT,7603,41.503278,-73.236467
BATES STREET,BATES_ST,,,LD.BATES_ST13.8,4214,4006,7000,SEMA,SEMA,7613,41.680064,-71.168162
BATH,BATH,,,LD.BATH    34.5,4176,4001,7000,ME,Maine,7606,43.903257,-69.834797
BEACON FALLS,BEACN_FL,,,LD.BEACN_FL13.8,4584,4004,7001,SWCT,Western CT,7603,41.443639,-73.0688
BEAN HILL,BEAN_HIL,,,LD.BEAN_HIL13.8,4475,4004,7002,CT,Eastern CT,7600,41.558993,-72.118571
BEARSWAMP,BEARSWMP,,,LD.BEARSWMP13.8,67725,4007,7000,WMA,Western MA,7618,42.683761,-72.950073
BEARSWAMP,BEARSWMP,J.COCKWELL PUMP 1 LOAD,BSW1P,AR.BEARSWMP13.8BSW1P,11761,4007,7000,WMA,Western MA,7618,42.683761,-72.950073
BEARSWAMP,BEARSWMP,J.COCKWELL PUMP 2 LOAD,BSW2P,AR.BEARSWMP13.8BSW2P,11762,4007,7000,WMA,Western MA,7618,42.683761,-72.950073
BEARSWAMP,BEARSWMP,J. COCKWELL 1,BSW1,UN.BEARSWMP13.8BSW1,359,4007,7000,WMA,Western MA,7618,42.683761,-72.950073
BEARSWAMP,BEARSWMP,J. COCKWELL 2,BSW2,UN.BEARSWMP13.8BSW2,360,4007,7000,WMA,Western MA,7618,42.683761,-72.950073
BEAVER POND,BEAVR_PD,,,LD.BEAVR_PD13.8,4291,4006,7000,RI,SEMA,7613,42.074332,-71.424072
BEDFORD,BEDFORD,,,LD.BEDFORD 34.5,10850,4002,7000,NH,New Hampshire,7610,42.944541,-71.463114
BELFAST,BELFAST,,,LD.BELFAST 34.5,4141,4001,7000,ME,Maine,7606,44.456941,-69.039047
BELFAST,BELFAST,GEORGES RIVER ENERGY,GEOR,UN.BELFAST 34.5GEOR,50121,4001,7000,ME,Maine,7606,44.456941,-69.039047
BELLINGHAM NEA,BELLNGHM,NEA BELLINGHAM 1A,NE1A,UN.BELLNGHM13.2NE1A,48754,4006,7000,RI,SEMA,7613,42.091861,-71.483722
BELLINGHAM NEA,BELLNGHM,NEA BELLINGHAM 1B,NE1B,UN.BELLNGHM13.2NE1B,48755,4006,7000,RI,SEMA,7613,42.091861,-71.483722
BELLOWS FALLS,BELLWSFL,,,LD.BELLWSFL6.9,4330,4002,7000,VT,New Hampshire,7610,43.132576,-72.44211
BELLOWS FALLS,BELLWSFL,,,LD.BELLWSFL69,40041,4002,7000,VT,New Hampshire,7610,43.132576,-72.44211
BELLOWS FALLS,BELLWSFL,,,LD.BELLWSFL46,42637,4002,7000,VT,New Hampshire,7610,43.132576,-72.44211
BELLOWS FALLS,BELLWSFL,BELLOWS FALLS,BELL,UN.BELLWSFL6.9 BELL,335,4002,7000,VT,New Hampshire,7610,43.132576,-72.44211
BELLINGHAM,BELL_303,ANP-BELLINGHAM 1,BEL1,UN.BELL_30321  BEL1,1412,4006,7000,RI,SEMA,7613,42.109256,-71.451785
BELLINGHAM,BELL_303,ANP-BELLINGHAM 2,BEL2,UN.BELL_30321  BEL2,1415,4006,7000,RI,SEMA,7613,42.109256,-71.451785
BELL ROCK ROAD,BELL_RK,,,LD.BELL_RK 34.5,10683,4006,7000,SEMA,SEMA,7613,41.737512,-71.086596
BELMONT,BELMONT,,,LD.BELMONT 13.8,4209,4006,7000,SEMA,SEMA,7613,42.06583,-71.054667
BENNINGTON,BENINGTN,,,LD.BENINGTN46,4468,4003,7000,WMA,Vermont,7615,42.881623,-73.172525
BENNINGTON,BENINGTN,,,LD.BENINGTN69,4469,4003,7000,WMA,Vermont,7615,42.881623,-73.172525
BERKSHIRE,BERKSHRE,,,LD.BERKSHRE23,4488,4007,7000,WMA,Western MA,7618,42.46907,-73.093301
BERKSHIRE POWER,BERK_PWR,BERKSHIRE POWER,BERK,UN.BERK_PWR21  BERK,1086,4007,7000,WMA,Springfield MA,7617,42.0481,-72.6479
BERLIN,BERLIN,,,LD.BERLIN  13.8,4544,4004,7002,CT,Western CT,7604,41.631931,-72.723246
BERLIN,BERLIN,,,LD.BERLIN  23,47965,4004,7002,CT,Western CT,7604,41.631931,-72.723246
BERLIN VT,BERLINVT,,,LD.BERLINVT34.5,4445,4003,7000,VT,Northwest Vermont,7614,44.249821,-72.60343
BERLIN VT,BERLINVT,MARSHFIELD 6 HYDRO,MARH,UN.BERLINVT34.5MARH,468,4003,7000,NH,Northwest Vermont,7614,44.249821,-72.60343
BERLIN VT,BERLINVT,BERLIN  1 GT,BERL,UN.BERLINVT34.5BERL,336,4003,7000,VT,Northwest Vermont,7614,44.249821,-72.60343
BERLIN NH,BERLN_NH,GORHAM,GORH,UN.BERLN_NH34.5GORH,427,4002,7000,NH,New Hampshire,7610,44.463,-71.1797
BERLIN NH,BERLN_NH,GREAT LAKES - BERLIN,BERP,UN.BERLN_NH22  BERP,10424,4002,7000,NH,New Hampshire,7610,44.463,-71.1797
BERLIN NH,BERLN_NH,JERICHO WIND,JERW,UN.BERLN_NH34.5JERW,43580,4002,7000,NH,New Hampshire,7610,44.463,-71.1797
